restaurant,url,star,num_reviews,city,distance_in_meters,price_range
Sector 17,https://www.doordash.com/store/884779/?pickup=false,4,640,Brampton,1448.406,$$ 
Golden Palace Restaurant,https://www.doordash.com/store/332454/?pickup=false,4,301,Brampton,3218.68,$$ 
McDonald's,https://www.doordash.com/store/1140537/?pickup=false,4.2,890,Brampton,1609.34,$$ 
San Francisco Place,https://www.doordash.com/store/205349/?pickup=false,4.4,109,Brampton,643.736,$ 
THE BURGER BROS,https://www.doordash.com/store/940617/?pickup=false,4.5,481,Brampton,152.4,$$ 
Lazeez Shawarma,https://www.doordash.com/store/567102/?pickup=false,3.7,730,Brampton,1448.406,$$ 
Fresh Tandoori,https://www.doordash.com/store/303233/?pickup=false,3.8,NA,Brampton,1448.406,$$ 
Henry's Fish & Chips,https://www.doordash.com/store/443240/?pickup=false,4.5,293,Brampton,1126.5379999999998,$$ 
Pho Viet Nam Restaurant,https://www.doordash.com/store/205291/?pickup=false,4.2,50,Brampton,60.96,$$ 
Church's Chicken Canada,https://www.doordash.com/store/872402/?pickup=false,4,NA,Brampton,3057.7459999999996,$ 
Punjabi Chaap Corner Canada,https://www.doordash.com/store/1767716/?pickup=false,4.1,411,Brampton,1126.5379999999998,$$ 
Burger King,https://www.doordash.com/store/60362/?pickup=false,4,NA,Brampton,2414.0099999999998,$ 
Shawarma King,https://www.doordash.com/store/484779/?pickup=false,4,600,Brampton,1287.472,$$ 
Joe's Pizzeria and Spaghetti House,https://www.doordash.com/store/443276/?pickup=false,4.3,122,Brampton,804.67,$$ 
Kejjis,https://www.doordash.com/store/525423/?pickup=false,4.4,107,Brampton,643.736,$$ 
Karachi Kitchen,https://www.doordash.com/store/205355/?pickup=false,4,980,Brampton,2735.8779999999997,$ 
Munchers,https://www.doordash.com/store/1085408/?pickup=false,4.3,353,Brampton,1609.34,$$ 
Hakka Village Chinese Restaurant,https://www.doordash.com/store/60279/?pickup=false,4.2,NA,Brampton,2253.0759999999996,$ 
7-Eleven,https://www.doordash.com/convenience/store/992614/?pickup=false,4.1,540,Brampton,321.868,$$ 
Spicy Island Jerk,https://www.doordash.com/store/567012/?pickup=false,3.6,19,Brampton,321.868,$$ 
Shawarma Corner,https://www.doordash.com/store/205191/?pickup=false,4.5,132,Brampton,1609.34,$ 
Dairy Queen,https://www.doordash.com/store/1615538/?pickup=false,4.6,353,Brampton,643.736,$$ 
Shawarma Point,https://www.doordash.com/store/1130961/?pickup=false,3.9,31,Brampton,1126.5379999999998,$$ 
Shake Therapy,https://www.doordash.com/store/2535823/?pickup=false,4.6,28,Brampton,91.44,$$ 
RDs Southern BBQ,https://www.doordash.com/store/443364/?pickup=false,4.6,197,Brampton,804.67,$$ 
Angeethi Asli Dhaba,https://www.doordash.com/store/443223/?pickup=false,4.2,183,Brampton,804.67,$$ 
Church's Texas Chicken,https://www.doordash.com/store/1464604/?pickup=false,4.5,299,Brampton,1931.2079999999999,$$ 
Burrito Boyz,https://www.doordash.com/store/205278/?pickup=false,4.4,404,Brampton,1287.472,$$ 
Sunrise Caribbean Restaurant,https://www.doordash.com/store/205246/?pickup=false,4.3,321,Brampton,2735.8779999999997,$ 
Bombay Blue,https://www.doordash.com/store/2423883/?pickup=false,4.7,65,Brampton,804.67,$$ 
Pizza Depot,https://www.doordash.com/store/783263/?pickup=false,4.1,167,Brampton,3862.4159999999997,$ 
Yum Shawarma,https://www.doordash.com/store/247731/?pickup=false,4.3,620,Brampton,3701.4819999999995,$$ 
Tadka King,https://www.doordash.com/store/2491717/?pickup=false,4,47,Brampton,91.44,$$ 
Fresh Burrito,https://www.doordash.com/store/205362/?pickup=false,4.1,415,Brampton,1287.472,$$ 
D Spot Dessert Cafe,https://www.doordash.com/store/2571356/?pickup=false,4.7,52,Brampton,3701.4819999999995,$$ 
Nova Grill & Bakery,https://www.doordash.com/store/1555360/?pickup=false,4.6,38,Brampton,321.868,$$ 
Kelseys Original Roadhouse,https://www.doordash.com/store/205359/?pickup=false,4.3,750,Brampton,3057.7459999999996,$$ 
Harvey's,https://www.doordash.com/store/205292/?pickup=false,4.2,760,Brampton,1126.5379999999998,$$ 
Balista,https://www.doordash.com/store/2391176/?pickup=false,4.3,29,Brampton,1770.2740000000001,$$ 
Silver Spoon,https://www.doordash.com/store/205215/?pickup=false,3.8,750,Brampton,1931.2079999999999,$ 
Paradise Chicken,https://www.doordash.com/store/969535/?pickup=false,4.4,126,Brampton,1448.406,$$ 
Heritage Fish & Chips,https://www.doordash.com/store/60224/?pickup=false,4.5,299,Brampton,2574.944,$$ 
Osmow's,https://www.doordash.com/store/537072/?pickup=false,4.2,NA,Brampton,1287.472,$$ 
Maguires Irish Pub,https://www.doordash.com/store/894225/?pickup=false,4.3,39,Brampton,1931.2079999999999,$$ 
Ice Flame,https://www.doordash.com/store/1364946/?pickup=false,4.6,136,Brampton,1448.406,$$ 
Subway,https://www.doordash.com/store/455065/?pickup=false,4.2,119,Brampton,1287.472,$ 
Indian Curry Express,https://www.doordash.com/store/787603/?pickup=false,4.2,99,Brampton,60.96,$$ 
Quik Chik,https://www.doordash.com/store/863993/?pickup=false,4.3,130,Brampton,2735.8779999999997,$$ 
Btown Pizza,https://www.doordash.com/store/22919059/?pickup=false,4.2,88,Brampton,1287.472,$$ 
New York Fried Chicken And Burger,https://www.doordash.com/store/541682/?pickup=false,4.1,86,Brampton,1448.406,$$ 
PizzaEdge,https://www.doordash.com/store/348807/?pickup=false,4,132,Brampton,2896.812,$$ 
Hero Certified Burgers,https://www.doordash.com/store/205306/?pickup=false,4,NA,Brampton,3218.68,$ 
BarBurrito,https://www.doordash.com/store/566973/?pickup=false,4.3,530,Brampton,3057.7459999999996,$$ 
Freshly Thai,https://www.doordash.com/store/2855908/?pickup=false,4.7,30,Brampton,91.44,$$ 
KFC,https://www.doordash.com/store/973575/?pickup=false,4.3,242,Brampton,1287.472,$ 
Popeyes Louisiana Kitchen,https://www.doordash.com/store/399190/?pickup=false,3.8,880,Brampton,1126.5379999999998,$$ 
Trish Juice,https://www.doordash.com/store/205969/?pickup=false,4,131,Brampton,15.24,$$ 
Pizza Pizza,https://www.doordash.com/store/642880/?pickup=false,4.2,143,Brampton,1126.5379999999998,$$ 
Royal Indian Sweets and Restaurant,https://www.doordash.com/store/1034606/?pickup=false,4.1,69,Brampton,1931.2079999999999,$$ 
