restaurant,url,category,distance,star,num_reviews
Sector 17,https://www.doordash.com/store/884779/?pickup=false,"$$ • Indian, Wraps",24 min • 0.9 mi,4,(640+)
Golden Palace Restaurant,https://www.doordash.com/store/332454/?pickup=false,"$$ • Chinese, Chicken",27 min • 2.0 mi,4,(301)
McDonald's,https://www.doordash.com/store/1140537/?pickup=false,"$$ • Bakery, Chicken",19 min • 1.0 mi,4.2,(890+)
San Francisco Place,https://www.doordash.com/store/205349/?pickup=false,"$ • Italian, Sandwiches",16 min • 0.4 mi,4.4,(109)
THE BURGER BROS,https://www.doordash.com/store/940617/?pickup=false,"$$ • Fast Food, Sandwiches",23 min • 500 ft,4.5,(481)
Lazeez Shawarma,https://www.doordash.com/store/567102/?pickup=false,"$$ • Shawarma, Vegetarian",20 min • 0.9 mi,3.7,(730+)
Fresh Tandoori,https://www.doordash.com/store/303233/?pickup=false,"$$ • Indian, Vegetarian",27 min • 0.9 mi,3.8,"(1,400+)"
Henry's Fish & Chips,https://www.doordash.com/store/443240/?pickup=false,"$$ • Fish & Chips, Seafood",19 min • 0.7 mi,4.5,(293)
Pho Viet Nam Restaurant,https://www.doordash.com/store/205291/?pickup=false,"$$ • Vietnamese, Pho",18 min • 200 ft,4.2,(50)
Church's Chicken Canada,https://www.doordash.com/store/872402/?pickup=false,"$ • Wraps, Tenders",25 min • 1.9 mi,4,"(1,700+)"
Punjabi Chaap Corner Canada,https://www.doordash.com/store/1767716/?pickup=false,"$$ • Indian Cuisine, Tandoori",18 min • 0.7 mi,4.1,(411)
Burger King,https://www.doordash.com/store/60362/?pickup=false,"$ • American, Burgers",23 min • 1.5 mi,4,"(2,400+)"
Shawarma King,https://www.doordash.com/store/484779/?pickup=false,"$$ • Middle Eastern, Wraps",21 min • 0.8 mi,4,(600+)
Joe's Pizzeria and Spaghetti House,https://www.doordash.com/store/443276/?pickup=false,"$$ • Italian, Pizza",22 min • 0.5 mi,4.3,(122)
Kejjis,https://www.doordash.com/store/525423/?pickup=false,"$$ • African, Pastries",19 min • 0.4 mi,4.4,(107)
Karachi Kitchen,https://www.doordash.com/store/205355/?pickup=false,"$ • Indian, Curry",22 min • 1.7 mi,4,(980+)
Munchers,https://www.doordash.com/store/1085408/?pickup=false,"$$ • Burgers, Sandwiches",24 min • 1.0 mi,4.3,(353)
Hakka Village Chinese Restaurant,https://www.doordash.com/store/60279/?pickup=false,"$ • Chinese, Noodles",27 min • 1.4 mi,4.2,"(1,800+)"
7-Eleven,https://www.doordash.com/convenience/store/992614/?pickup=false,"$$ • 7-Eleven, 7/11",18 min • 0.2 mi,4.1,(540+)
Spicy Island Jerk,https://www.doordash.com/store/567012/?pickup=false,"$$ • Caribbean, Breakfast",20 min • 0.2 mi,3.6,(19)
Shawarma Corner,https://www.doordash.com/store/205191/?pickup=false,"$ • Middle Eastern, Shawarma",18 min • 1.0 mi,4.5,(132)
Dairy Queen,https://www.doordash.com/store/1615538/?pickup=false,"$$ • Ice Cream, Desserts",18 min • 0.4 mi,4.6,(353)
Shawarma Point,https://www.doordash.com/store/1130961/?pickup=false,"$$ • Shawarma, Biryani",20 min • 0.7 mi,3.9,(31)
Shake Therapy,https://www.doordash.com/store/2535823/?pickup=false,"$$ • Comfort Food, Milk Shakes",19 min • 300 ft,4.6,(28)
RDs Southern BBQ,https://www.doordash.com/store/443364/?pickup=false,"$$ • Sandwiches, Chicken",22 min • 0.5 mi,4.6,(197)
Angeethi Asli Dhaba,https://www.doordash.com/store/443223/?pickup=false,"$$ • Indian, Barbecue",23 min • 0.5 mi,4.2,(183)
Church's Texas Chicken,https://www.doordash.com/store/1464604/?pickup=false,"$$ • Chicken, Chicken Tenders",21 min • 1.2 mi,4.5,(299)
Burrito Boyz,https://www.doordash.com/store/205278/?pickup=false,"$$ • Gluten-Free, Nachos",20 min • 0.8 mi,4.4,(404)
Sunrise Caribbean Restaurant,https://www.doordash.com/store/205246/?pickup=false,"$ • Breakfast, Caribbean",23 min • 1.7 mi,4.3,(321)
Bombay Blue,https://www.doordash.com/store/2423883/?pickup=false,"$$ • Indian, Curry",24 min • 0.5 mi,4.7,(65)
Pizza Depot,https://www.doordash.com/store/783263/?pickup=false,"$ • Family Meals, Plant Based",25 min • 2.4 mi,4.1,(167)
Yum Shawarma,https://www.doordash.com/store/247731/?pickup=false,"$$ • Burgers, Wraps",26 min • 2.3 mi,4.3,(620+)
Tadka King,https://www.doordash.com/store/2491717/?pickup=false,"$$ • Tandoori, Burgers",20 min • 300 ft,4,(47)
Fresh Burrito,https://www.doordash.com/store/205362/?pickup=false,"$$ • Mexican, Burritos",19 min • 0.8 mi,4.1,(415)
D Spot Dessert Cafe,https://www.doordash.com/store/2571356/?pickup=false,"$$ • Ice Cream, Milk Shakes",25 min • 2.3 mi,4.7,(52)
Nova Grill & Bakery,https://www.doordash.com/store/1555360/?pickup=false,"$$ • Bakery, Sandwiches",22 min • 0.2 mi,4.6,(38)
Kelseys Original Roadhouse,https://www.doordash.com/store/205359/?pickup=false,"$$ • Fried Chicken, Chicken",27 min • 1.9 mi,4.3,(750+)
Harvey's,https://www.doordash.com/store/205292/?pickup=false,"$$ • Chicken, Sandwiches",19 min • 0.7 mi,4.2,(760+)
Balista,https://www.doordash.com/store/2391176/?pickup=false,"$$ • Sandwiches, Wraps",21 min • 1.1 mi,4.3,(29)
Silver Spoon,https://www.doordash.com/store/205215/?pickup=false,"$ • Indian, Fast Food",28 min • 1.2 mi,3.8,(750+)
Paradise Chicken,https://www.doordash.com/store/969535/?pickup=false,"$$ • Chicken, Burgers",27 min • 0.9 mi,4.4,(126)
Heritage Fish & Chips,https://www.doordash.com/store/60224/?pickup=false,"$$ • Fish & Chips, Chicken Wings",29 min • 1.6 mi,4.5,(299)
Osmow's,https://www.doordash.com/store/537072/?pickup=false,"$$ • Mediterranean, Shawarma",20 min • 0.8 mi,4.2,"(1,000+)"
Maguires Irish Pub,https://www.doordash.com/store/894225/?pickup=false,"$$ • Pubs, Irish",27 min • 1.2 mi,4.3,(39)
Ice Flame,https://www.doordash.com/store/1364946/?pickup=false,"$$ • Milk Shakes, Ice Cream",21 min • 0.9 mi,4.6,(136)
Subway,https://www.doordash.com/store/455065/?pickup=false,"$ • Wraps, Sandwiches",16 min • 0.8 mi,4.2,(119)
Indian Curry Express,https://www.doordash.com/store/787603/?pickup=false,"$$ • Indian, Vegetarian",27 min • 200 ft,4.2,(99)
Quik Chik,https://www.doordash.com/store/863993/?pickup=false,"$$ • Chicken, Sandwiches",25 min • 1.7 mi,4.3,(130)
Btown Pizza,https://www.doordash.com/store/22919059/?pickup=false,"$$ • Italian, Pizza",25 min • 0.8 mi,4.2,(88)
New York Fried Chicken And Burger,https://www.doordash.com/store/541682/?pickup=false,"$$ • Sandwiches, Wraps",27 min • 0.9 mi,4.1,(86)
PizzaEdge,https://www.doordash.com/store/348807/?pickup=false,"$$ • Pizza, Chicken Wings",23 min • 1.8 mi,4,(132)
Hero Certified Burgers,https://www.doordash.com/store/205306/?pickup=false,"$ • Burgers, Family Meals",28 min • 2.0 mi,4,"(1,200+)"
BarBurrito,https://www.doordash.com/store/566973/?pickup=false,"$$ • Mexican, Burritos",25 min • 1.9 mi,4.3,(530+)
Freshly Thai,https://www.doordash.com/store/2855908/?pickup=false,"$$ • Thai, Soup",25 min • 300 ft,4.7,(30)
KFC,https://www.doordash.com/store/973575/?pickup=false,"$ • Chicken, Sandwiches",19 min • 0.8 mi,4.3,(242)
Popeyes Louisiana Kitchen,https://www.doordash.com/store/399190/?pickup=false,"$$ • Fast Food, Chicken",21 min • 0.7 mi,3.8,(880+)
Trish Juice,https://www.doordash.com/store/205969/?pickup=false,"$$ • Juice Bar, Smoothies",28 min • 50 ft,4,(131)
Pizza Pizza,https://www.doordash.com/store/642880/?pickup=false,"$$ • Italian, Pizza",19 min • 0.7 mi,4.2,(143)
Royal Indian Sweets and Restaurant,https://www.doordash.com/store/1034606/?pickup=false,"$$ • Indian, Vegetarian",24 min • 1.2 mi,4.1,(69)
SeaSide Eats (Resolution Dr),https://www.doordash.com/store/995784/?pickup=false,"$$ • Poutineries, Tacos",27 min • 2.0 mi,4.4,(53)
Chai Naka,https://www.doordash.com/store/1565102/?pickup=false,"$$ • Fast Food, Snacks",26 min • 1.1 mi,4.5,(21)
Vesuvio Ristorante,https://www.doordash.com/store/205973/?pickup=false,"$$$$ • Italian, Pizza",29 min • 500 ft,4.3,(52)
China Palace (CP),https://www.doordash.com/store/205301/?pickup=false,"$$ • Chinese, Vegetarian",26 min • 2.1 mi,4,(364)
Grillz Spot,https://www.doordash.com/store/23121460/?pickup=false,"$$ • Smoothies, Rice",25 min • 1.1 mi,4,NA
Epic Burger,https://www.doordash.com/store/2352831/?pickup=false,"$$ • Fast Food, Fries",25 min • 0.7 mi,4.2,NA
Dosa Dosa Inc,https://www.doordash.com/store/2493044/?pickup=false,"$ • Indian, Street Food",24 min • 1.2 mi,4.1,NA
Family Pizza,https://www.doordash.com/store/205347/?pickup=false,"$$ • Fries, Italian",24 min • 2.5 mi,3.8,(25)
The Wing Spot,https://www.doordash.com/store/1910756/?pickup=false,"$$ • Fries, Wraps",28 min • 1.6 mi,4.7,(32)
Royal Kabob,https://www.doordash.com/store/1866656/?pickup=false,"$ • Afghan, Kebabs",26 min • 1.2 mi,4.4,(65)
Hakka Spoon Inc,https://www.doordash.com/store/2828198/?pickup=false,"$$ • Chinese, Seafood",26 min • 0.8 mi,4.2,(67)
Gentlemen Chai and Snacks,https://www.doordash.com/store/1423746/?pickup=false,"$$ • Street Food, Milk Tea",25 min • 0.9 mi,4.2,(97)
Wild Wing,https://www.doordash.com/store/205219/?pickup=false,"$$ • Fast Food, Chicken Wings",24 min • 0.9 mi,3.8,(149)
Heritage India,https://www.doordash.com/store/23026115/?pickup=false,"$$ • Salads, Curry",26 min • 1.2 mi,4.2,NA
Street Bitez,https://www.doordash.com/store/2466126/?pickup=false,"$$ • Coffee, Dessert",28 min • 1.6 mi,4.2,(88)
Pita Pit,https://www.doordash.com/store/731293/?pickup=false,"$ • Frozen Yogurt, Build Your Own",23 min • 200 ft,4.4,(208)
Blackstone Steakhouse and Grill,https://www.doordash.com/store/1390658/?pickup=false,"$$ • Italian, Chicken",28 min • 700 ft,4.4,(26)
Kin-Kin Bakery & Bubble Tea,https://www.doordash.com/store/1697153/?pickup=false,"$$ • Bakery, Bubble Tea",29 min • 1.7 mi,4.6,(18)
9 Queen Chinese Cuisine 皇后玖號,https://www.doordash.com/store/543203/?pickup=false,"$$ • Chinese, Chicken",29 min • 200 ft,4.2,(54)
Booster Juice,https://www.doordash.com/store/823716/?pickup=false,"$$ • Juice Bars & Smoothies, Healthy",21 min • 1.9 mi,4.6,(260)
Circle K,https://www.doordash.com/convenience/store/1288755/?pickup=false,"$$ • Grocery, chips",21 min • 0.4 mi,4.4,(29)
Fusion Pub & Pool,https://www.doordash.com/store/1447709/?pickup=false,"$$ • Alcohol, Beer",28 min • 1.7 mi,4.3,(13)
Tribal Wings,https://www.doordash.com/store/2355773/?pickup=false,$$ • Chicken Wings,26 min • 0.7 mi,4.2,NA
A&W Canada,https://www.doordash.com/store/487285/?pickup=false,"$$ • Canadian, Breakfast",28 min • 1.4 mi,4,(920+)
241 Pizza,https://www.doordash.com/store/987360/?pickup=false,"$$ • Pizza, Chicken",24 min • 0.9 mi,4.5,(96)
Little Caesars Pizza,https://www.doordash.com/store/1148958/?pickup=false,"$$ • Italian, Pizza",27 min • 1.6 mi,4.4,(112)
Swiss Chalet,https://www.doordash.com/store/205275/?pickup=false,"$$ • Chicken, Barbecue",27 min • 2.2 mi,4.5,(481)
Smoke's Poutinerie,https://www.doordash.com/store/586809/?pickup=false,"$$ • Pork, Boneless Wings",26 min • 2.1 mi,4,(295)
Second Cup,https://www.doordash.com/store/961068/?pickup=false,"$$ • Bakery, Espresso",26 min • 1.9 mi,4.5,(89)
Freshii,https://www.doordash.com/store/511591/?pickup=false,"$$ • Tacos, Burritos",29 min • 2.0 mi,4.4,(399)
The Works Craft Burgers,https://www.doordash.com/store/1638849/?pickup=false,"$$ • Poutineries, Burgers",29 min • 300 ft,4.4,(69)
Grabb-A-Pizza,https://www.doordash.com/store/443213/?pickup=false,"$$ • Pizza, Chicken Wings",26 min • 1.2 mi,4.6,(10)
RAPiZZA,https://www.doordash.com/store/2546943/?pickup=false,"$$ • Pizza, Dessert",27 min • 300 ft,5,NA
Demetres,https://www.doordash.com/store/205282/?pickup=false,"$$ • Belgian, Waffles",Closed • 2.6 mi,4.4,"(1,000+)"
Queen Eatery,https://www.doordash.com/store/22931357/?pickup=false,"$$ • Breakfast, Omelets",Closed • 0.8 mi,4.5,(56)
Pepper Shack,https://www.doordash.com/store/774234/?pickup=false,"$$ • Seafood, Soup",Closed • 0.9 mi,4.2,(96)
Eggsmart,https://www.doordash.com/store/1016015/?pickup=false,"$$ • American, Sandwiches",Closed • 0.8 mi,4.4,(296)
Yarl Dosa Corner,https://www.doordash.com/store/60307/?pickup=false,"$$ • Indian, Dessert",Closed • 1.0 mi,3.4,(96)
Genius Restaurant and Patty,https://www.doordash.com/store/1321977/?pickup=false,"$$ • Soup, Seafood",Closed • 1.4 mi,5,(15)
Sunset Grill,https://www.doordash.com/store/23195858/?pickup=false,"$$ • Breakfast, Omelets",Closed • 400 ft,5,NA
Deccan Express,https://www.doordash.com/store/1143539/?pickup=false,"$$ • Indian, Curry",Closed • 1.7 mi,4.4,(77)
Biryani King,https://www.doordash.com/store/205264/?pickup=false,"$$ • Pakistani, Dessert",Closed • 1.8 mi,4.2,(14)
Gem's House Of Jerk,https://www.doordash.com/store/205204/?pickup=false,"$$ • Caribbean, Snacks",Closed • 1.7 mi,3.9,(412)
Pita Land,https://www.doordash.com/store/2412971/?pickup=false,"$$ • Wraps, Poutineries",Closed • 2.0 mi,3.8,(44)
Shop-Mart,https://www.doordash.com/store/22981415/?pickup=false,"$$ • Snacks, Candy",Closed • 900 ft,NA,NA
YUM YUM RESTAURANT - JAMAICAN CUISINE,https://www.doordash.com/store/1099372/?pickup=false,"$$ • Jamaican, Breakfast",Closed • 600 ft,4.3,(27)
Sarbat Foods,https://www.doordash.com/store/1618649/?pickup=false,"$$ • Indian, Breakfast",Closed • 0.2 mi,3.5,NA
3MS African Market,https://www.doordash.com/convenience/store/1691950/?pickup=false,"$$ • Snacks, Grocery",Closed • 0.4 mi,5,NA
Shy Lounge INC,https://www.doordash.com/store/296119/?pickup=false,"$$ • Chinese, Fried Rice",Closed • 0.4 mi,3.1,(31)
bonfirehouse,https://www.doordash.com/store/22980649/?pickup=false,"$$ • Breakfast, Takeout",Closed • 900 ft,NA,NA
RAPiZZA,https://www.doordash.com/store/1725420/?pickup=false,$,Closed • 300 ft,NA,NA
Dolcezza Custom Cakes,https://www.doordash.com/store/1882403/?pickup=false,"$$ • Bakery, Cupcakes",Closed • 500 ft,NA,NA
Sharm's Mediterranean Restaurant,https://www.doordash.com/store/23462259/?pickup=false,"$$ • Mediterranean, Shawarma",Closed • 0.2 mi,NA,NA
Warraich Meats,https://www.doordash.com/store/366045/?pickup=false,"$$ • Indian, Chicken",Closed • 1.9 mi,3.9,(417)
Culinarystars by chef harminder,https://www.doordash.com/store/1221412/?pickup=false,"$$ • Indian, Chicken",Closed • 1.2 mi,NA,NA
Mumbaiya Khau Galli,https://www.doordash.com/store/1617461/?pickup=false,"$$ • Curry, Indian",Closed • 1.6 mi,5,NA
Spice Dera,https://www.doordash.com/store/2561499/?pickup=false,"$$ • Barbecue, Curry",Closed • 1.0 mi,2.8,NA
Burrito Bandidos,https://www.doordash.com/store/1609909/?pickup=false,"$$ • Mexican, Burritos",Closed • 1.9 mi,3.1,(32)
Fyah Side Jamaican Grill,https://www.doordash.com/store/1663400/?pickup=false,"$$ • Jamaican, Seafood",Closed • 2.6 mi,4.3,NA
