restaurant,url,category,distance,star,num_reviews
Jollibee,https://www.doordash.com/store/1208957/?pickup=false,"$$ • Chicken, Burgers",23 min • 1.2 mi,4.6,"(7,500+)"
JOEY Restaurants,https://www.doordash.com/store/150003/?pickup=false,"$$ • Alcohol, Steak",27 min • 500 ft,4.4,"(6,400+)"
Earls Kitchen + Bar,https://www.doordash.com/store/172560/?pickup=false,"$$ • Canadian, Alcohol",27 min • 1.3 mi,4.5,"(1,200+)"
LOCAL Public Eatery,https://www.doordash.com/store/172604/?pickup=false,"$$ • Alcohol, Sandwiches",20 min • 0.8 mi,4.6,"(3,900+)"
Popeyes Louisiana Kitchen,https://www.doordash.com/store/1695865/?pickup=false,"$$ • Fast Food, Chicken",21 min • 0.6 mi,4.4,"(1,800+)"
Panini's Italian Cucina,https://www.doordash.com/store/155466/?pickup=false,"$$ • Italian, Pizza",28 min • 1.2 mi,4.7,"(1,600+)"
Harvey's,https://www.doordash.com/store/695538/?pickup=false,"$ • Chicken, Sandwiches",19 min • 0.5 mi,4.5,"(2,200+)"
CoCo Fresh Tea & Juice,https://www.doordash.com/store/1081032/?pickup=false,"$$ • Milk Tea, Bubble Tea",18 min • 0.5 mi,4.8,"(2,100+)"
Dairy Queen,https://www.doordash.com/store/1375789/?pickup=false,"$$ • Ice Cream, Desserts",20 min • 0.6 mi,4.4,"(1,400+)"
All Happy Family Restaurant,https://www.doordash.com/store/149821/?pickup=false,"$$ • Chinese, Seafood",15 min • 0.3 mi,4.6,(880+)
Tim Hortons,https://www.doordash.com/store/1631594/?pickup=false,"$$ • Canadian, Sandwiches",15 min • 400 ft,4.4,(610+)
Nando's PERi-PERi,https://www.doordash.com/store/149769/?pickup=false,"$$ • Barbecue, Portuguese",23 min • 1.3 mi,4.3,"(2,200+)"
Wayback Burgers Restaurant & Bar,https://www.doordash.com/store/1324245/?pickup=false,"$$ • Burgers, Milk Shakes",27 min • 0.3 mi,4.5,"(1,200+)"
Valueliquorhub,https://www.doordash.com/convenience/store/1610316/?pickup=false,"$$ • Beer, Wine & Spirits",23 min • 1.4 mi,4.7,(487)
Queen Donair,https://www.doordash.com/store/236396/?pickup=false,"$ • Fast Food, Burgers",17 min • 0.6 mi,4.3,(770+)
The Burger's Priest,https://www.doordash.com/store/150104/?pickup=false,"$$ • Burgers, Fast Food",17 min • 0.6 mi,4.4,"(1,600+)"
7-Eleven,https://www.doordash.com/store/1207162/?pickup=false,"$$ • Burgers, Wings",21 min • 500 ft,4.6,(366)
Gravy,https://www.doordash.com/store/149818/?pickup=false,"$$ • Burgers, Fries",24 min • 1.5 mi,4.8,"(1,400+)"
Ramen Misoya,https://www.doordash.com/store/787431/?pickup=false,"$$ • Japanese, Appetizers",17 min • 0.3 mi,4.7,(710+)
Primetime Donair & Poutine,https://www.doordash.com/store/567321/?pickup=false,"$$ • Dessert, Hamburgers",18 min • 0.9 mi,4.6,(510+)
Bourbon St Grill (Kingsway Mall),https://www.doordash.com/store/1430774/?pickup=false,"$$ • Salads, Noodles",22 min • 1.3 mi,4.7,(482)
Wok Box,https://www.doordash.com/store/826466/?pickup=false,"$$ • Chinese, Noodles",18 min • 0.3 mi,4.3,(770+)
La Shish Shawarma,https://www.doordash.com/store/145552/?pickup=false,"$$ • Mediterranean, Shawarma",24 min • 1.2 mi,4.5,(169)
Shoyu Sushi,https://www.doordash.com/store/2430848/?pickup=false,"$$ • Sushi, Japanese",26 min • 0.6 mi,4.6,(239)
Marco's Famous,https://www.doordash.com/store/1385038/?pickup=false,"$$ • Burgers, Poutineries",18 min • 0.7 mi,4.6,(345)
Denny's,https://www.doordash.com/store/229235/?pickup=false,"$ • American, Breakfast",25 min • 0.4 mi,4.3,"(1,300+)"
A&W Canada,https://www.doordash.com/store/166551/?pickup=false,"$ • Canadian, Breakfast",19 min • 1.1 mi,4.5,(900+)
Taste Of Shangri-la,https://www.doordash.com/store/1047946/?pickup=false,"$$ • Indian, Chinese",27 min • 1.7 mi,4.6,(960+)
Tiffin India's Fresh Kitchen,https://www.doordash.com/store/23033903/?pickup=false,"$$ • Naan, Roti",15 min • 0.3 mi,4.4,(45)
Amore Pasta,https://www.doordash.com/store/701334/?pickup=false,$$ • Salads,15 min • 700 ft,4.5,(235)
Zaytun restaurant and cafe,https://www.doordash.com/store/1068769/?pickup=false,"$$ • Wraps, Pizza",19 min • 0.5 mi,4.4,(482)
Tokyo Express,https://www.doordash.com/store/172774/?pickup=false,"$$ • Japanese, Sushi",19 min • 1.0 mi,4.7,(230)
The Parlour Italian Kitchen & Bar,https://www.doordash.com/store/1056314/?pickup=false,"$ • Italian, Alcohol",19 min • 0.4 mi,4.3,(349)
Cosmic Pizza & Donair,https://www.doordash.com/store/1267582/?pickup=false,"$$ • Pizza, Poutineries",20 min • 0.2 mi,4.4,(420)
Pizza 73,https://www.doordash.com/store/491696/?pickup=false,"$$ • Pizza, Sandwiches",21 min • 0.6 mi,4.4,"(1,000+)"
Booster Juice,https://www.doordash.com/store/166576/?pickup=false,"$ • Juice Bars & Smoothies, Healthy",18 min • 0.6 mi,4.7,(530+)
Namaste India,https://www.doordash.com/store/1721788/?pickup=false,"$$ • Indian, Vegetarian",19 min • 0.4 mi,4.5,(301)
Tacos On Whyte,https://www.doordash.com/store/612426/?pickup=false,"$$ • Mexican, Nachos",26 min • 1.9 mi,4.5,(229)
Blue Orchid Chinese Restaurant,https://www.doordash.com/store/155419/?pickup=false,"$$ • Chinese, Seafood",21 min • 0.8 mi,4.4,(371)
MOXIES,https://www.doordash.com/store/1585267/?pickup=false,"$$ • Bar and Grill, Salads",24 min • 1.0 mi,4.4,(310)
